|원형|현재형|과거형|과거분사형|현재분사형|
|upstage|upstages|upstaged|upstaged|upstaging|
|urge|urges|urged|urged|urging|
|urinate|urinates|urinated|urinated|urinating|
|use|uses|used|used|using|
|usher|ushers|ushered|ushered|ushering|
|usurp|usurps|usurped|usurped|usurping|
|utilize|utilizes|utilized|utilized|utilizing|
|utter|utters|uttered|uttered|uttering|
|vacate|vacates|vacated|vacated|vacating|
|vaccinate|vaccinates|vaccinated|vaccinated|vaccinating|
|vacillate|vacillates|vacillated|vacillated|vacillating|
|vacuum|vacuums|vacuumed|vacuumed|vacuuming|
|valet|valets|valeted|valeted|valeting|
|validate|validates|validated|validated|validating|
|value|values|valued|valued|valuing|
|vamp|vamps|vamped|vamped|vamping|
|vanish|vanishes|vanished|vanished|vanishing|
|vanquish|vanquishes|vanquished|vanquished|vanquishing|
|vaporize|vaporizes|vaporized|vaporized|vaporizing|
|vary|varies|varied|varied|varying|
|varnish|varnishes|varnished|varnished|varnishing|
|vault|vaults|vaulted|vaulted|vaulting|
|vaunt|vaunts|vaunted|vaunted|vaunting|
|veer|veers|veered|veered|veering|
|veil|veils|veiled|veiled|veiling|
|vend|vends|vended|vended|vending|
|venerate|venerates|venerated|venerated|venerating|
|vengeance|vengeances|vengeanced|vengeanced|vengeancing|
|vengeancing|vengeancings|vengeancingd|vengeancingd|vengeancinging|
|vent|vents|vented|vented|venting|
|ventilate|ventilates|ventilated|ventilated|ventilating|
|venture|ventures|ventured|ventured|venturing|
|verbalize|verbalizes|verbalized|verbalized|verbalizing|
|verify|verifies|verified|verified|verifying|
|verse|verses|versed|versed|versing|
|versify|versifies|versified|versified|versifying|
|veto|vetoes|vetoed|vetoed|vetoing|
|vex|vexes|vexed|vexed|vexing|
|vibrate|vibrates|vibrated|vibrated|vibrating|
|victimize|victimizes|victimized|victimized|victimizing|
|vie|vies|vied|vied|vying|
|view|views|viewed|viewed|viewing|
|vilify|vilifies|vilified|vilified|vilifying|
|vindicate|vindicates|vindicated|vindicated|vindicating|
|violate|violates|violated|violated|violating|
|visa|visas|visaed|visaed|visaing|
|visit|visits|visited|visited|visiting|
|visualize|visualizes|visualized|visualized|visualizing|
|vitiate|vitiates|vitiated|vitiated|vitiating|
|vituperate|vituperates|vituperated|vituperated|vituperating|
|vivify|vivifies|vivified|vivified|vivifying|
|vocalize|vocalizes|vocalized|vocalized|vocalizing|
|vociferate|vociferates|vociferated|vociferated|vociferating|
|voice|voices|voiced|voiced|voicing|
|void|voids|voided|voided|voiding|
|volatilize|volatilizes|volatilized|volatilized|volatilizing|
|volley|volleys|volleyed|volleyed|volleying|
|volunteer|volunteers|volunteered|volunteered|volunteering|
|vomit|vomits|vomited|vomited|vomiting|
|vote|votes|voted|voted|voting|
|vouch|vouches|vouched|vouched|vouching|
|vouchsafe|vouchsafes|vouchsafed|vouchsafed|vouchsafing|
|vow|vows|vowed|vowed|vowing|
|voyage|voyages|voyaged|voyaged|voyaging|
|vulcanize|vulcanizes|vulcanized|vulcanized|vulcanizing|
|vulnerating|vulneratings|vulneratinged|vulneratinged|vulneratinging|
|wad|wads|wadded|wadded|wadding|
|waddle|waddles|waddled|waddled|waddling|
|wade|wades|waded|waded|wading|
|waffle|waffles|waffled|waffled|waffling|
|waft|wafts|wafted|wafted|wafting|
|wag|wags|wagged|wagged|wagging|
|wage|wages|waged|waged|waging|
|waggle|waggles|waggled|waggled|waggling|
|wail|wails|wailed|wailed|wailing|
|wait|waits|waited|waited|waiting|
|waive|waives|waived|waived|waiving|
|wake|wakes|woke|woken|waking|
|walk|walks|walked|walked|walking|
|wall|walls|walled|walled|walling|
|wallow|wallows|wallowed|wallowed|wallowing|
|wallpaper|wallpapers|wallpapered|wallpapered|wallpapering|
|waltz|waltzes|waltzed|waltzed|waltzing|
|wander|wanders|wandered|wandered|wandering|
|wane|wanes|waned|waned|waning|
|want|wants|wanted|wanted|wanting|
|war|wars|warred|warred|warring|
|warble|warbles|warbled|warbled|warbling|
|ward|wards|warded|warded|warding|
|warm|warms|warmed|warmed|warming|
|warn|warns|warned|warned|warning|
|warp|warps|warped|warped|warping|
|warrant|warrants|warranted|warranted|warranting|
|wash|washes|washed|washed|washing|
|waste|wastes|wasted|wasted|wasting|
|watch|watches|watched|watched|watching|
|water|waters|watered|watered|watering|
|waterproof|waterproofs|waterproofed|waterproofed|waterproofing|
|wattle|wattles|wattled|wattled|wattling|
|wave|waves|waved|waved|waving|
|waver|wavers|wavered|wavered|wavering|
|wax|waxes|waxed|waxed|waxing|
|waylay|waylays|waylaid|waylaid|waylaying|
|weaken|weakens|weakened|weakened|weakening|
|wean|weans|weaned|weaned|weaning|
|wear|wears|wore|worn|wearing|
|weary|wearies|wearied|wearied|wearying|
|weather|weathers|weathered|weathered|weathering|
|weave|weaves|wove|woven|weaving|
|wed|weds|wedded|wedded|wedding|
|wedge|wedges|wedged|wedged|wedging|
|weed|weeds|weeded|weeded|weeding|
|weep|weeps|wept|wept|weeping|
|weigh|weighs|weighed|weighed|weighing|
|welcome|welcomes|welcomed|welcomed|welcoming|
|weld|welds|welded|welded|welding|
|well|wells|welled|welled|welling|
|wend|wends|wended|wended|wending|
|westernize|westernizes|westernized|westernized|westernizing|
|wet|wets|wetted|wetted|wetting|
|whack|whacks|whacked|whacked|whacking|
|wheedle|wheedles|wheedled|wheedled|wheedling|
|wheel|wheels|wheeled|wheeled|wheeling|
|wheeze|wheezes|wheezed|wheezed|wheezing|
|whelp|whelps|whelped|whelped|whelping|
|whimper|whimpers|whimpered|whimpered|whimpering|
|whine|whines|whined|whined|whining|
|whinny|whinnies|whinnied|whinnied|whinnying|
|whip|whips|whipped|whipped|whipping|
|whirl|whirls|whirled|whirled|whirling|
|whisk|whisks|whisked|whisked|whisking|
|whisper|whispers|whispered|whispered|whispering|
|whistle|whistles|whistled|whistled|whistling|
|whitewash|whitewashes|whitewashed|whitewashed|whitewashing|
|whiten|whitens|whitened|whitened|whitening|
|whittle|whittles|whittled|whittled|whittling|
|whiz|whizzes|whizzed|whizzed|whizzing|
|wholesale|wholesales|wholesaled|wholesaled|wholesaling|
|whoop|whoops|whooped|whooped|whooping|
|whore|whores|whored|whored|whoring|
|widen|widens|widened|widened|widening|
|widow|widows|widowed|widowed|widowing|
|wield|wields|wielded|wielded|wielding|
|wiggle|wiggles|wiggled|wiggled|wiggling|
|wild|wilds|wilded|wilded|wilding|
|will|wills|willed|willed|willing|
|wilt|wilts|wilted|wilted|wilting|
|win|wins|won|won|winning|
|wince|winces|winced|winced|wincing|
|wind|winds|winded|winded|winding|
|window|windows|windowed|windowed|windowing|
|windsurf|windsurfs|windsurfed|windsurfed|windsurfing|
|wing|wings|winged|winged|winging|
|wink|winks|winked|winked|winking|
|winnow|winnows|winnowed|winnowed|winnowing|
|winter|winters|wintered|wintered|wintering|
|wipe|wipes|wiped|wiped|wiping|
|wire|wires|wired|wired|wiring|
|wise|wises|wised|wised|wising|
|wish|wishes|wished|wished|wishing|
|withdraw|withdraws|withdrew|withdrawn|withdrawing|
|wither|withers|withered|withered|withering|
|withhold|withholds|withheld|withheld|withholding|
|withstand|withstands|withstood|withstood|withstanding|
|witness|witnesses|witnessed|witnessed|witnessing|
|wobble|wobbles|wobbled|wobbled|wobbling|
|womanize|womanizes|womanized|womanized|womanizing|
|wonder|wonders|wondered|wondered|wondering|
|woo|woos|wooed|wooed|wooing|
|work|works|worked|worked|working|
|worry|worries|worried|worried|worrying|
|worsen|worsens|worsened|worsened|worsening|
|worship|worships|worshiped|worshiped|worshiping|
|worth|worths|worthed|worthed|worthing|
|wound|wounds|wounded|wounded|wounding|
|wow|wows|wowed|wowed|wowing|
|wrangle|wrangles|wrangled|wrangled|wrangling|
|wrap|wraps|wrapped|wrapped|wrapping|
|wreak|wreaks|wreaked|wreaked|wreaking|
|wrestle|wrestles|wrestled|wrestled|wrestling|
|wriggle|wriggles|wriggled|wriggled|wriggling|
|wring|wrings|wrung|wrung|wringing|
|wrinkle|wrinkles|wrinkled|wrinkled|wrinkling|
|write|writes|wrote|written|writing|
|writhe|writhes|writhed|writhed|writhing|
|wrong|wrongs|wronged|wronged|wronging|
|x-ray|x-rays|x-rayed|x-rayed|x-raying|
|xerox|xeroxes|xeroxed|xeroxed|xeroxing|
|yammer|yammers|yammered|yammered|yammering|
|yank|yanks|yanked|yanked|yanking|
|yap|yaps|yapped|yapped|yapping|
|yawn|yawns|yawned|yawned|yawning|
|yearn|yearns|yearned|yearned|yearning|
|yell|yells|yelled|yelled|yelling|
|yellow|yellows|yellowed|yellowed|yellowing|
|yelp|yelps|yelped|yelped|yelping|
|yield|yields|yielded|yielded|yielding|
|yodel|yodels|yodeled|yodeled|yodeling|
|yoke|yokes|yoked|yoked|yoking|
|zero|zeroes|zeroed|zeroed|zeroing|
|zigzag|zigzags|zigzagged|zigzagged|zigzagging|
|zip|zips|zipped|zipped|zipping|
|zone|zones|zoned|zoned|zoning|
|zoom|zooms|zoomed|zoomed|zooming|
